Datetime,Status,Health,Level,Scale,Plugged,Voltage,Temperature
2019-11-09 23:56:33,Discharging,Good,82,100,None,4075,35.0
2019-11-09 23:56:25,Discharging,Good,82,100,None,4131,35.0
2019-11-09 23:53:06,Discharging,Good,82,100,None,4132,35.0
2019-11-09 23:52:46,Discharging,Good,82,100,None,4134,35.0
2019-11-09 23:49:20,Discharging,Good,82,100,None,4127,34.0
2019-11-09 23:46:13,Discharging,Good,83,100,None,4158,33.0
2019-11-09 23:46:00,Discharging,Good,83,100,None,4142,33.0
2019-11-09 23:45:21,Discharging,Good,83,100,None,4157,33.0
2019-11-09 23:45:10,Discharging,Good,83,100,None,4133,33.0
2019-11-09 23:44:56,Discharging,Good,83,100,None,4134,33.0
2019-11-09 23:44:28,Discharging,Good,83,100,None,4152,33.0
2019-11-09 23:44:04,Discharging,Good,83,100,None,4124,33.0
2019-11-09 23:42:46,Discharging,Good,83,100,None,4129,33.0
2019-11-09 23:42:40,Discharging,Good,83,100,None,4166,32.0
2019-11-09 23:41:25,Discharging,Good,83,100,None,4165,32.0
2019-11-09 23:41:22,Discharging,Good,83,100,None,4165,32.0
2019-11-09 23:41:12,Discharging,Good,83,100,None,4144,32.0
2019-11-09 23:41:09,Discharging,Good,83,100,None,4166,32.0
2019-11-09 23:38:52,Discharging,Good,83,100,None,4143,32.0
2019-11-09 23:38:47,Discharging,Good,83,100,None,4166,32.0
2019-11-09 23:36:47,Discharging,Good,83,100,None,4155,32.0
2019-11-09 23:36:37,Discharging,Good,83,100,None,4165,32.0
2019-11-09 23:32:46,Discharging,Good,83,100,None,4168,32.0
2019-11-09 23:28:12,Discharging,Good,83,100,None,4152,33.0
2019-11-09 23:28:08,Discharging,Good,83,100,None,4168,33.0
2019-11-09 23:27:19,Discharging,Good,83,100,None,4155,33.0
2019-11-09 23:27:09,Discharging,Good,83,100,None,4168,33.0
2019-11-09 23:22:49,Discharging,Good,83,100,None,4168,33.0
2019-11-09 21:54:00,Discharging,Good,90,100,None,4207,35.0
2019-11-09 21:52:44,Discharging,Good,90,100,None,4224,34.0
2019-11-09 21:50:25,Discharging,Good,90,100,None,4210,34.0
2019-11-09 21:46:50,Discharging,Good,91,100,None,4206,34.0
2019-11-09 21:44:12,Discharging,Good,91,100,None,4256,33.0
2019-11-09 21:42:44,Discharging,Good,91,100,None,4255,33.0
2019-11-09 21:38:04,Discharging,Good,91,100,None,4239,34.0
2019-11-09 21:37:33,Discharging,Good,91,100,None,4226,35.0
2019-11-09 21:34:42,Discharging,Good,92,100,None,4214,34.0
2019-11-09 21:34:08,Discharging,Good,92,100,None,4259,33.0
2019-11-09 21:33:29,Discharging,Good,92,100,None,4221,34.0
2019-11-09 21:33:13,Discharging,Good,92,100,None,4254,33.0
2019-11-09 21:32:44,Discharging,Good,92,100,None,4257,34.0
2019-11-09 21:32:15,Discharging,Good,92,100,None,4243,34.0
2019-11-09 21:32:07,Discharging,Good,92,100,None,4259,34.0
2019-11-09 21:31:29,Discharging,Good,92,100,None,4221,34.0
2019-11-09 21:29:42,Discharging,Good,92,100,None,4232,34.0
2019-11-09 21:28:26,Discharging,Good,92,100,None,4257,33.0
2019-11-09 21:24:16,Discharging,Good,92,100,None,4252,34.0
2019-11-09 21:24:06,Discharging,Good,92,100,None,4265,34.0
2019-11-09 21:22:47,Discharging,Good,92,100,None,4249,35.0
2019-11-09 21:22:44,Discharging,Good,92,100,None,4243,35.0
2019-11-09 21:22:37,Discharging,Good,92,100,None,4263,35.0
2019-11-09 20:53:35,Discharging,Good,95,100,None,4260,36.0
2019-11-09 20:53:09,Discharging,Good,95,100,None,4293,35.0
2019-11-09 20:52:43,Discharging,Good,95,100,None,4290,36.0
2019-11-09 20:52:36,Discharging,Good,95,100,None,4253,36.0
2019-11-09 20:50:56,Discharging,Good,95,100,None,4256,36.0
2019-11-09 20:50:30,Discharging,Good,96,100,None,4262,36.0
2019-11-09 20:47:40,Discharging,Good,96,100,None,4266,35.0
2019-11-09 20:44:41,Discharging,Good,96,100,None,4266,35.0
2019-11-09 20:42:43,Discharging,Good,96,100,None,4291,34.0
2019-11-09 20:41:43,Discharging,Good,97,100,None,4273,34.0
2019-11-09 20:41:28,Discharging,Good,97,100,None,4300,34.0
2019-11-09 20:40:42,Discharging,Good,97,100,None,4230,34.0
2019-11-09 20:40:26,Discharging,Good,97,100,None,4313,33.0
2019-11-09 20:39:56,Discharging,Good,97,100,None,4285,33.0
2019-11-09 20:39:48,Discharging,Good,97,100,None,4314,33.0
2019-11-09 20:36:21,Discharging,Good,97,100,None,4283,34.0
2019-11-09 20:36:13,Discharging,Good,97,100,None,4301,34.0
2019-11-09 20:36:13,Discharging,Good,97,100,None,4297,34.0
2019-11-09 20:36:03,Discharging,Good,97,100,None,4263,34.0
2019-11-09 20:36:01,Discharging,Good,97,100,None,4271,34.0
2019-11-09 20:35:59,Discharging,Good,97,100,None,4286,34.0
2019-11-09 20:35:58,Discharging,Good,97,100,None,4282,34.0
2019-11-09 20:35:53,Discharging,Good,97,100,None,4252,34.0
2019-11-09 20:35:41,Discharging,Good,97,100,None,4314,33.0
2019-11-09 20:35:30,Discharging,Good,97,100,None,4299,33.0
2019-11-09 20:35:20,Discharging,Good,97,100,None,4316,33.0
2019-11-09 20:32:43,Discharging,Good,97,100,None,4312,34.0
2019-11-09 20:32:18,Discharging,Good,97,100,None,4287,34.0
2019-11-09 20:32:14,Discharging,Good,97,100,None,4315,34.0
2019-11-09 20:30:44,Discharging,Good,97,100,None,4283,35.0
2019-11-09 20:30:23,Discharging,Good,97,100,None,4315,34.0
2019-11-09 20:29:22,Discharging,Good,97,100,None,4282,35.0
2019-11-09 20:28:28,Discharging,Good,97,100,None,4280,35.0
2019-11-09 20:26:18,Discharging,Good,98,100,None,4260,34.0
2019-11-09 20:24:57,Discharging,Good,98,100,None,4324,33.0
2019-11-09 20:24:23,Discharging,Good,98,100,None,4291,33.0
2019-11-09 20:24:01,Discharging,Good,98,100,None,4287,33.0
2019-11-09 20:23:53,Discharging,Good,98,100,None,4325,33.0
2019-11-09 20:23:34,Discharging,Good,98,100,None,4310,33.0
2019-11-09 20:23:24,Discharging,Good,98,100,None,4327,33.0
2019-11-09 20:22:43,Discharging,Good,98,100,None,4326,33.0
2019-11-09 20:21:47,Discharging,Good,98,100,None,4301,33.0
2019-11-09 20:21:02,Discharging,Good,98,100,None,4327,33.0
2019-11-09 20:19:58,Discharging,Good,98,100,None,4306,33.0
2019-11-09 20:19:22,Discharging,Good,99,100,None,4286,33.0
2019-11-09 20:19:19,Discharging,Good,99,100,None,4328,33.0
2019-11-09 20:16:04,Discharging,Good,99,100,None,4310,33.0
2019-11-09 20:15:19,Discharging,Good,99,100,None,4333,33.0
2019-11-09 20:12:43,Discharging,Good,99,100,None,4334,33.0
2019-11-09 20:12:38,Discharging,Good,99,100,None,4333,33.0
2019-11-09 20:07:56,Discharging,Good,99,100,None,4323,33.0
2019-11-09 20:07:46,Discharging,Good,99,100,None,4335,33.0
2019-11-09 20:04:58,Discharging,Good,100,100,None,4290,34.0
2019-11-09 20:03:39,Discharging,Good,100,100,None,4328,34.0
2019-11-09 20:03:34,Discharging,Good,100,100,None,4319,34.0
2019-11-09 20:03:32,Discharging,Good,100,100,None,4336,34.0
2019-11-09 20:03:19,Discharging,Good,100,100,None,4309,34.0
2019-11-09 20:03:11,Discharging,Good,100,100,None,4332,34.0
2019-11-09 20:03:06,Discharging,Good,100,100,None,4322,34.0
2019-11-09 20:03:04,Discharging,Good,100,100,None,4329,34.0
2019-11-09 20:03:01,Discharging,Good,100,100,None,4304,34.0
2019-11-09 20:03:00,Discharging,Good,100,100,None,4322,34.0
2019-11-09 20:02:56,Discharging,Good,100,100,None,4343,33.0
2019-11-09 20:02:52,Discharging,Good,100,100,None,4302,34.0
2019-11-09 20:02:44,Discharging,Good,100,100,None,4333,33.0
2019-11-09 20:02:43,Discharging,Good,100,100,None,4392,33.0
2019-11-09 20:02:43,Discharging,Good,100,100,None,4392,33.0
2019-11-09 20:01:57,Charging,Good,100,100,AC,4393,33.0
2019-11-09 20:01:39,Charging,Good,100,100,AC,4392,33.0
2019-11-09 20:00:57,Charging,Good,100,100,AC,4392,33.0
2019-11-09 20:00:34,Charging,Good,100,100,AC,4392,33.0
2019-11-09 19:59:57,Charging,Good,100,100,AC,4393,33.0
2019-11-09 19:59:48,Charging,Good,100,100,AC,4393,33.0
2019-11-09 19:59:28,Charging,Good,100,100,AC,4393,33.0
2019-11-09 19:58:57,Charging,Good,99,100,AC,4392,33.0
2019-11-09 19:58:23,Charging,Good,99,100,AC,4392,34.0
2019-11-09 19:57:57,Charging,Good,99,100,AC,4393,34.0
2019-11-09 19:57:18,Charging,Good,99,100,AC,4392,34.0
2019-11-09 19:57:14,Charging,Good,99,100,AC,4393,34.0
2019-11-09 19:56:57,Charging,Good,99,100,AC,4380,34.0
2019-11-09 19:56:13,Charging,Good,99,100,AC,4392,34.0
2019-11-09 19:55:57,Charging,Good,99,100,AC,4392,34.0
2019-11-09 19:55:08,Charging,Good,99,100,AC,4393,34.0
2019-11-09 19:54:57,Charging,Good,99,100,AC,4392,34.0
2019-11-09 19:54:52,Charging,Good,99,100,AC,4393,34.0
2019-11-09 19:54:27,Charging,Good,99,100,AC,4393,34.0
2019-11-09 19:54:04,Charging,Good,98,100,AC,4393,34.0
2019-11-09 19:53:57,Charging,Good,98,100,AC,4392,34.0
2019-11-09 19:52:59,Charging,Good,98,100,AC,4392,34.0
2019-11-09 19:52:57,Charging,Good,98,100,AC,4393,34.0
2019-11-09 19:52:40,Charging,Good,98,100,AC,4392,34.0
